text,label
actually keith hernandez is the best sean,0
as a guess hamilton would be put into the midwest with either winnipeg or dallas moving to the pacific .,1
here we go again is this the same idiot who posted the gretzky trade to toronto sheeeesh you should have waited until we got over that one before this garbage maybe we would have believed it for half a second not by the way i just heard from mother goose that mario lemieux was traded to winnpeg for tie domi !,1
sez dave kingman when he used to take off for rosh hashanna and yom kippur on days they coincided with the season .,0
i have one complaint for the cameramen doing the jersey pitt series show the shots not the hits on more than one occassion the camera zoomed in on a check along the boards while the puck was in the slot they panned back to show the rebound maybe mom s camera people were a little more experienced joseph stiehm exactly that is my biggest complaint about the coverage so far follow that damn puck ravi shah shah pitt edu,1
you should be ashamed to call yourself an ulf samuelson fan anybody who plays the way he does does not belong in the nhl there have been cheap shot artists through the history of the game but a lot of them have been talanted players bobby clarke kenny linsemen pie mckenzie chris chelios etc but nobody has been out right as dirty a cheapshot coward as ulf violence in hockey has got to be curbed and players like should have been a women samuelson do n t belong when players like ulf who s main purpose is to injure the better players in the league is allowed to continue and the league wo n t stop it the players should a christian pro qqq aluminum stick directed at his ugly head should do the trick nicely if the bruins get a chance to meet pittsburgh in the near future you can bet neely will have his day the sight of watching ulf turtle up like the coward he is is worth almost as much as a stanely cup this wimp of a player almost ruined the career of one the best right wingers in the game if you are to remove ulf samuelson from the lineup the penguins would not even notice he s gone he s an eyesore on the game of hockey .,1
unfortunately that is the way the league is heading you ca n t fight so the only way to retaliate against someone is with a cheap shot when the ref is n t looking ulf has brought this to a high level players stuck in the past like neely who prefer fights to cheap shots are at a disadvantage in the new system lets face it a cheap shot like high sticking is a very effective method it is easier to hide from the refs has a better chance of causing injury and you can draw people into fights that way i do n t like it but that s the way the league is going .,1
disclaimer this is for fun in my computerized baseball game i keep track of a category called stolen hits defined as a play made that an average fielder would not make with average effort using the qqq defensive averages posted by sherri nichols thanks sherri i ve figured out some defensive stats for the leftfielders hits stolen have been redefined as plays kevin bass would not have made ok i realize that s unfair kevin s probably the victim of pitching staff fluke shots and a monster park factor but let s put it this way if we replaced every leftfielder in the league with someone with kevin s qqq out making ability how many extra hits would go by to try and correlate it to reality a little more i ve calculated net hits stolen based on the number of outs made compared to what a league average fielder would make by the same method i ve calculated net extra bases doubles and triples let by finally i throw all this into a a formula i call defensive contribution or dcon basically it represents the defensive contribution of a player i add this number to ops to get dops defense onbase plus slug which should represent the player s total contribution to the team so do n t take it too seriously the formula for dcon appears at the end of this article the short version definition of terms hs hits stolen extra outs compared to kurt stillwell nhs net hits stolen extra outs compared to average fielder ndp net double plays extra double plays turned compared to avg fielder neb net extra bases extra bases prevented compared to avg fielder dcon defensive contribution bases and hits prevented as a rate dops dcon ops quick dirty measure of player s total contribution national league name hs nhs neb dcon dops gonzalez l qqq qqq qqq qqq qqq gilkey b qqq qqq qqq qqq qqq clark g qqq qqq qqq qqq qqq alou m qqq qqq qqq qqq qqq bonds b qqq qqq qqq qqq qqq may d qqq qqq qqq qqq qqq gant r qqq qqq qqq qqq qqq bass k qqq qqq qqq qqq qqq ordered by dops qqq bonds qqq gilkey qqq gonzalez qqq alou qqq clark qqq nl average qqq gant qqq may qqq bass american league name hs nhs neb dcon dops raines t qqq qqq qqq qqq qqq anderson b qqq qqq qqq qqq qqq henderson r qqq qqq qqq qqq qqq vaughn g qqq qqq qqq qqq qqq gladden d qqq qqq qqq qqq qqq hall m qqq qqq qqq qqq qqq mack s qqq qqq qqq qqq qqq polonia l qqq qqq qqq qqq qqq mcreynolds k qqq qqq qqq qqq qqq maldanado c qqq qqq qqq qqq qqq reimer k qqq qqq qqq qqq qqq order by dops qqq henderson qqq anderson qqq raines qqq mack qqq vaughn qqq hall qqq al average qqq maldanado qqq mcreynolds qqq gladden qqq reimer qqq polonia more discussion dcon formula nhs ndp pa nhs ndp neb ab why such a bizzare formula basically it s designed to be added into the ops with the idea that a run prevented is as important as a run scored the extra outs are factored into obp while the extra bases removed are factored into slg that s why i used pa and ab as the divisors for more discussion see the post on hits stolen first base qqq dale j stephenson steph cs uiuc edu baseball fanatic,0
national hockey league qqq qqq season home attendance report each qtr represents qqq home games qtr qqq will have qqq home games neutral site games are not included s o indicates the number of sell outs team name qtr qqq s o qtr qqq s o qtr qqq s o qtr qqq s o totals average bos qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq buf qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq cal qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq chi qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq det qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq edm qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq har qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq la qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq min qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq mon qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq nj qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq nyi qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq nyr qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq ott qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq phi qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq pit qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq que qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq sj qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq stl qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq tb qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq tor qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq van qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq was qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq win qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq,1
more about the messier samuelsson incident i agree with rick that ulf s cross check was n t illegal it was the kind of check you see a dozen times during a game without being called slo mos sometimes have a tendency to make things look worse than they really are besides if messier ca n t take the heat he should stay out of the kitchen well matt mattias timmander has n t been playing with the modo elite league team yet just the modo junior team so i predict he needs a few more years here before he can join the b s i saw him play in the swedish championship game for junior players this year and he played very well a physical game but not the kind of rough stuff that ulfie does i suspect you would like to have a ulf type of player on the b s team too as for mariusz czerkawski he has had a great season for hammarby in division qqq he scored if i remember correctly qqq points this season and then we have to keep in mind that a qqq point season in sweden is considered very good due to the limited number of games mariusz is djurgarden property he was just on loan to hammarby so he will play in elitserien next season unless the b s can get him of course i would say that mariusz has to be one of the most exciting player to watch in swedish hockey this season staffan,1
